fk_id_crp,fk_id_phases,fk_id_gender,fk_id_training_term,quantity
1,6,1,1,337449.0
1,6,2,1,366418.0
1,6,1,2,321.0
1,6,2,2,247.0
1,6,1,4,18.0
1,6,2,4,18.0
2,23,1,1,3049.0
2,23,2,1,4976.0
2,23,1,2,6.0
2,23,2,2,4.0
2,23,1,4,5.0
2,23,2,4,8.0
3,40,1,1,426.0
3,40,2,1,2293.0
3,40,1,2,475.0
3,40,2,2,1233.0
3,40,1,4,1.0
3,40,2,4,3.0
4,57,1,1,1318.0
4,57,2,1,956.0
4,57,1,2,10.0
4,57,2,2,10.0
4,57,1,4,10.0
4,57,2,4,10.0
5,74,1,1,1020.0
5,74,2,1,1213.0
5,74,1,2,15.0
5,74,2,2,20.0
5,74,1,4,15.0
5,74,2,4,20.0
9,91,1,1,4514.0
9,91,2,1,5627.0
9,91,1,2,140.0
9,91,2,2,153.0
9,91,1,4,15.0
9,91,2,4,13.0
12,108,1,1,26000.0
12,108,2,1,49000.0
12,108,1,2,59.0
12,108,2,2,87.0
12,108,1,4,59.0
12,108,2,4,87.0
13,125,1,1,33317.0
13,125,2,1,36576.0
13,125,1,2,110.0
13,125,2,2,132.0
13,125,1,4,48.0
13,125,2,4,58.0
15,142,1,1,2663.0
15,142,2,1,15305.0
15,142,1,2,105.0
15,142,2,2,54.0
15,142,1,4,11.0
15,142,2,4,6.0
16,159,1,1,6562.0
16,159,2,1,14979.0
16,159,1,2,77.0
16,159,2,2,143.0
16,159,1,4,35.0
16,159,2,4,52.0
19,180,1,1,169.0
19,180,2,1,356.0
19,180,1,2,164.0
19,180,2,2,211.0
19,180,1,4,0.0
19,180,2,4,0.0
20,196,1,1,35.0
20,196,2,1,207.0
20,196,1,2,0.0
20,196,2,2,0.0
20,196,1,4,0.0
20,196,2,4,0.0
21,264,1,1,181.0
21,264,2,1,255.0
21,264,1,2,0.0
21,264,2,2,0.0
21,264,1,4,0.0
21,264,2,4,0.0
17,213,1,1,67687.0
17,213,2,1,25270.0
17,213,1,2,12.0
17,213,2,2,7.0
17,213,1,4,12.0
17,213,2,4,6.0
18,230,1,1,2417.0
18,230,2,1,2734.0
18,230,1,2,22.0
18,230,2,2,25.0
18,230,1,4,15.0
18,230,2,4,20.0
1,3,1,3,697.0
2,20,1,1,2296.0
2,20,1,2,4.0
3,37,1,1,90.0
3,37,1,2,25.0
4,54,1,3,65420.0
5,71,1,1,338.0
5,71,1,2,25.0
9,88,1,1,14681.0
9,88,1,2,124.0
15,139,1,1,3843.0
15,139,1,2,28.0
16,156,1,1,11666.0
16,156,1,2,49.0
19,177,1,1,12.0
20,193,1,2,18.0
12,105,1,1,10504.0
12,105,1,2,281.0
13,122,1,1,0.0
13,122,1,2,95.0
13,122,1,3,31.0
17,210,1,3,43669.0
1,3,2,3,1315.0
2,20,2,1,3444.0
2,20,2,2,5.0
3,37,2,1,167.0
3,37,2,2,330.0
4,54,2,3,55729.0
5,71,2,1,1133.0
5,71,2,2,38.0
9,88,2,1,32678.0
9,88,2,2,194.0
15,139,2,1,24621.0
15,139,2,2,44.0
16,156,2,1,35000.0
16,156,2,2,71.0
19,177,2,1,18.0
20,193,2,2,63.0
12,105,2,1,8947.0
12,105,2,2,260.0
13,122,2,1,0.0
13,122,2,2,127.0
13,122,2,3,44.0
17,210,2,3,30914.0
