fk_id_oics;fk_id_sdg
39;74
39;76
39;78
39;100
40;71
40;81
40;94
40;95
40;96
40;98
40;105
40;72
40;82
40;97
40;99
40;106
43;3
43;6
43;74
43;76
43;78
43;100
46;44
46;45
46;46
46;67
46;27
46;31
46;43
46;60
47;74
47;76
47;78
47;100
47;2
47;5
47;64
49;8
49;12
49;16
49;20
49;1
49;4
49;26
49;30
51;79
51;28
51;32
52;79
53;28
53;32
53;27
53;31
53;43
53;60
54;39
54;41
54;56
55;28
55;32
55;9
55;13
55;17
55;21
55;80
56;61
56;69
56;8
56;12
56;16
56;20
57;27
57;31
57;43
57;60
57;59
58;61
58;69
58;59
59;74
59;76
59;78
59;100
60;7
60;11
60;15
60;19
60;3
60;6
61;7
61;11
61;15
61;19
62;74
62;76
62;78
62;100
62;37
62;38
63;79
64;79
64;71
64;81
64;94
64;95
64;96
64;98
64;105
65;71
65;81
65;94
65;95
65;96
65;98
65;105
66;7
66;11
66;15
66;19
66;25
67;8
67;12
67;16
67;20
68;74
68;76
68;78
68;100
69;74
69;76
69;78
69;100
70;71
70;81
70;94
70;95
70;96
70;98
70;105
70;74
70;76
70;78
70;100
71;7
71;11
71;15
71;19
71;1
71;4
71;26
71;30
72;27
72;31
72;43
72;60
72;59
73;74
73;76
73;78
73;100
73;102
73;104
74;74
74;76
74;78
74;100
74;89
74;91
74;92
75;89
75;91
75;92
76;89
76;91
76;92
77;62
77;70
77;3
77;6
78;40
78;42
78;57
78;58
78;74
78;76
78;78
78;100
79;72
79;82
79;97
79;99
79;106
79;102
79;104
80;27
80;31
80;43
80;60
80;44
80;45
80;46
80;67
81;25
81;23
81;48
82;39
82;41
82;56
83;71
83;81
83;94
83;95
83;96
83;98
83;105
84;71
84;81
84;94
84;95
84;96
84;98
84;105
85;71
85;81
85;94
85;95
85;96
85;98
85;105
85;39
85;41
85;56
86;62
86;70
86;3
86;6
87;62
87;70
87;74
87;76
87;78
87;100
88;24
88;25
89;61
89;69
89;25
91;29
91;33
92;1
92;4
92;26
92;30
92;7
92;11
92;15
92;19
93;7
93;11
93;15
93;19
95;29
95;33
95;28
95;32
96;74
96;76
96;78
96;100
96;71
96;81
96;94
96;95
96;96
96;98
96;105
97;29
97;33
97;28
97;32
98;23
98;48
98;71
98;81
98;94
98;95
98;96
98;98
98;105
99;61
99;69
100;61
100;69
100;25
101;23
101;48
101;61
101;69
