fk_id_cci,fk_id_oics,Contribution,is_primary
2,1,0.5,0
1,1,0.5,0
10,2,0.5,0
13,2,0.5,0
13,4,0.3333333333,0
9,6,1.0,0
15,9,1.0,0
6,10,0.3333333333,0
13,14,0.5,0
10,15,0.5,0
13,17,0.3333333333,0
5,19,0.5,0
2,19,0.5,0
13,22,1.0,0
13,23,1.0,0
13,24,0.5,0
2,24,0.5,0
13,27,0.5,0
3,27,0.5,0
13,28,0.5,0
10,31,0.5,0
16,32,0.5,0
13,32,0.5,0
1,33,0.5,0
3,33,0.5,0
11,35,0.5,0
15,36,0.5,0
2,37,0.5,0
2,38,0.5,0
15,39,0.5,0
2,39,0.5,0
10,40,0.5,0
13,41,0.5,0
13,47,0.5,0
2,47,0.5,0
11,49,0.5,0
2,49,0.5,0
11,52,0.5,0
10,58,0.5,0
11,58,0.5,0
10,59,0.5,0
11,59,0.5,0
4,85,1.0,0
3,114,1.0,0
9,115,0.5,0
5,115,0.5,0
9,116,0.5,0
13,306,1.0,1
10,324,0.5,0
11,324,0.5,1
4,164,0.5,0
15,166,0.5,0
2,166,0.5,0
11,328,0.3333333333,0
1,328,0.3333333333,0
14,330,0.5,0
13,341,0.3333333333,0
14,341,0.3333333333,0
9,182,0.5,0
5,184,0.5,0
14,184,0.5,0
13,187,1.0,0
15,191,0.3333333333,0
3,192,0.5,0
5,194,0.5,0
6,195,0.25,0
13,195,0.25,0
13,396,0.25,1
15,196,0.5,0
16,201,0.5,0
13,201,0.5,0
16,202,0.5,0
13,202,0.5,0
16,203,0.25,0
13,397,0.25,1
3,203,0.25,0
3,397,0.25,0
13,204,1.0,0
15,205,0.3333333333,0
16,206,0.5,0
13,206,0.5,0
13,207,1.0,0
11,208,0.5,0
16,208,0.5,0
16,209,0.5,0
10,398,0.25,1
11,210,0.25,0
11,398,0.25,0
3,210,0.25,0
2,211,0.5,0
13,212,0.25,0
13,400,0.25,1
13,214,0.25,0
4,216,0.25,0
4,401,0.25,0
3,216,0.25,0
3,401,0.25,0
11,218,0.5,0
2,218,0.5,0
9,220,0.5,0
10,222,0.5,0
11,222,0.5,0
10,223,0.5,0
11,223,0.5,0
10,404,0.3333333333,1
6,241,0.3333333333,0
3,245,0.5,0
2,246,0.5,0
1,246,0.5,0
15,248,0.5,0
13,249,0.5,0
15,405,0.2,0
16,255,0.5,0
16,259,0.5,0
6,262,0.5,0
2,407,0.5,0
1,407,0.5,0
13,272,0.5,0
6,274,0.5,0
1,274,0.5,0
4,416,0.3333333333,0
1,417,0.3333333333,0
1,423,0.3333333333,0
1,427,0.3333333333,1
2,435,1.0,1
13,279,1.0,0
13,280,0.5,0
2,280,0.5,0
11,284,0.5,0
2,438,0.3333333333,0
1,438,0.3333333333,0
14,439,1.0,1
6,441,0.5,0
5,441,0.5,1
3,442,0.3333333333,0
10,443,0.25,0
10,444,0.25,0
5,453,0.25,0
13,453,0.25,0
9,454,0.3333333333,1
8,454,0.3333333333,0
1,454,0.3333333333,0
15,455,0.3333333333,0
15,456,0.3333333333,1
16,458,0.3333333333,0
13,458,0.3333333333,0
15,465,0.5,1
16,466,0.3333333333,1
13,467,0.5,1
2,467,0.5,0
5,468,0.2,0
10,469,0.3333333333,1
11,469,0.3333333333,0
13,469,0.3333333333,0
10,470,0.5,1
11,470,0.5,0
6,473,1.0,1
7,476,0.3333333333,1
2,476,0.3333333333,0
1,476,0.3333333333,0
15,477,0.5,1
3,477,0.5,0
13,478,0.5,1
3,478,0.5,0
13,479,1.0,1
15,480,0.3333333333,1
3,482,0.5,0
9,492,0.5,0
16,492,0.5,0
13,493,1.0,1
15,494,0.25,0
16,496,0.3333333333,0
4,496,0.3333333333,0
15,500,0.3333333333,1
1,501,0.25,1
13,505,0.3333333333,0
15,508,0.3333333333,0
13,511,0.3333333333,0
1,513,0.25,0
13,516,0.5,0
2,520,0.3333333333,0
10,522,0.25,0
13,523,0.3333333333,1
2,523,0.3333333333,0
3,523,0.3333333333,0
13,526,1.0,1
13,527,0.3333333333,1
10,528,0.5,1
11,528,0.5,0
13,529,0.3333333333,0
3,530,0.3333333333,0
5,531,0.3333333333,0
15,531,0.3333333333,1
5,537,0.5,1
13,537,0.5,0
15,538,1.0,1
15,539,0.25,0
15,540,0.3333333333,0
10,542,0.5,0
3,549,0.3333333333,0
16,551,1.0,1
3,552,1.0,1
3,553,1.0,1
9,561,0.5,0
15,564,0.5,0
6,569,1.0,1
13,571,1.0,1
10,575,0.5,1
11,575,0.5,0
13,647,0.3333333333,0
3,649,0.5,0
3,650,0.5,0
2,652,0.5,1
1,652,0.5,0
1,653,0.5,0
15,663,0.3333333333,0
15,665,0.3333333333,0
15,669,0.5,1
4,669,0.5,0
10,672,0.5,0
3,684,0.5,0
13,686,0.5,1
13,687,0.3333333333,1
4,687,0.3333333333,0
3,687,0.3333333333,0
