fk_id_policy_info,fk_id_cci,is_primary
25,6,0
25,13,0
26,5,0
26,13,0
28,5,0
28,13,0
29,5,0
29,3,0
30,9,0
31,3,0
33,13,1
33,3,0
32,16,0
32,3,0
34,13,0
35,16,0
35,13,0
36,13,0
38,2,0
37,2,0
41,5,0
41,13,0
42,5,0
42,4,0
43,16,0
44,13,0
45,14,0
46,13,0
47,13,0
48,13,0
49,11,0
49,16,0
50,15,0
51,16,0
51,13,0
52,16,0
52,13,0
53,5,0
53,13,0
54,10,0
57,13,0
60,13,0
404,13,1
61,6,0
61,13,0
62,13,0
64,10,0
65,13,0
1,13,1
66,2,0
69,13,0
71,6,0
71,13,0
72,11,0
72,16,0
73,11,0
73,16,0
74,11,0
74,16,0
75,11,0
75,16,0
76,16,0
77,13,0
80,16,0
84,3,0
86,6,0
87,2,0
96,2,0
105,13,0
108,13,1
109,13,1
110,13,0
111,13,0
112,13,0
113,13,0
114,13,0
115,13,0
116,13,0
117,13,0
125,10,0
127,10,0
128,6,0
128,13,1
130,5,0
130,13,1
131,5,0
131,13,1
133,3,0
134,3,0
135,1,0
135,2,1
136,5,0
137,14,1
138,9,0
138,13,1
139,9,1
140,15,0
141,15,0
142,15,0
143,15,0
144,16,1
151,13,1
153,13,1
154,5,1
155,5,0
155,13,1
158,11,1
158,10,0
159,13,1
160,13,1
162,10,1
162,11,0
163,13,1
406,13,0
406,2,1
166,15,0
166,16,1
167,15,0
168,15,0
169,13,0
169,16,0
3,5,0
170,13,0
170,3,1
172,13,1
407,2,1
174,13,1
175,13,1
176,13,1
4,13,0
177,13,1
178,11,0
178,10,1
178,13,0
179,13,1
181,13,1
182,13,0
183,13,0
184,13,0
185,5,1
185,13,0
186,13,1
187,13,1
188,15,0
189,10,0
190,13,0
190,1,1
190,3,0
191,13,0
191,3,1
191,1,0
193,10,0
195,13,1
195,14,0
199,15,1
203,12,1
206,10,0
207,6,0
208,6,1
208,5,0
211,12,1
7,5,0
7,13,0
216,2,1
217,6,1
218,1,1
219,13,0
220,13,1
221,6,1
222,6,1
224,13,0
224,4,1
225,13,1
225,4,0
226,6,0
226,9,1
227,10,1
227,11,0
408,13,1
232,13,1
233,13,0
234,13,0
235,13,0
409,13,0
236,13,0
237,13,0
238,16,0
240,13,0
242,11,1
242,2,0
411,11,1
411,2,0
249,13,1
251,13,0
415,13,0
252,4,0
416,4,0
253,16,1
253,3,0
256,13,1
256,3,0
258,15,0
8,6,0
259,15,1
259,3,0
260,13,0
262,15,0
263,15,0
274,13,1
274,3,0
274,4,0
275,10,1
275,11,0
390,13,1
390,3,0
391,13,1
391,3,0
392,13,1
392,3,0
393,13,1
393,3,0
394,13,1
394,3,0
395,13,1
395,3,0
396,13,1
396,3,0
397,13,1
397,3,0
398,13,1
398,3,0
399,13,1
399,3,0
402,13,1
419,3,1
420,3,1
421,5,1
421,6,0
421,2,0
422,6,0
422,3,1
422,1,0
423,6,0
423,7,0
423,3,1
424,6,1
424,7,0
424,3,0
425,6,0
425,7,0
425,3,1
426,13,0
427,13,1
430,13,1
430,14,0
431,6,1
431,7,0
431,2,0
432,13,1
432,14,0
434,10,1
434,15,0
435,5,1
9,6,0
9,13,0
437,7,0
437,2,1
438,13,1
439,13,1
440,13,1
441,15,0
441,1,0
441,2,1
443,13,1
444,15,1
444,2,0
444,1,0
445,13,1
453,3,1
454,2,0
455,16,1
455,2,0
456,16,1
458,11,1
458,14,0
459,13,0
460,13,0
461,13,1
462,11,1
462,14,0
463,13,1
465,13,1
466,13,0
467,6,1
467,13,0
468,13,0
470,2,1
474,13,0
474,1,1
476,14,1
476,13,0
477,14,1
477,13,0
479,11,0
479,15,1
480,14,1
480,13,0
481,13,0
483,13,1
483,4,0
483,3,0
484,6,1
485,13,1
486,6,1
486,9,0
487,13,1
488,13,0
490,6,0
490,13,1
494,14,0
496,16,0
497,11,0
497,13,0
498,3,0
499,14,1
499,3,0
500,4,1
501,13,1
501,2,0
502,13,0
504,11,1
504,13,0
13,5,0
13,14,0
12,5,0
12,14,0
508,13,1
509,13,1
510,13,1
512,16,1
512,4,0
14,5,0
14,9,0
515,3,0
516,10,1
516,11,0
517,13,1
519,13,1
520,3,1
521,15,1
521,13,0
15,6,0
523,15,0
527,13,1
528,15,1
528,3,0
531,13,1
16,6,0
17,13,0
18,6,0
18,13,0
19,6,0
19,13,0
22,7,0
22,13,0
23,5,0
23,13,0
24,5,0
24,13,0
291,10,0
286,6,0
288,15,0
289,15,0
281,16,0
281,2,0
295,2,0
296,2,0
297,2,0
298,2,0
299,2,0
300,2,0
298,1,0
299,1,0
300,1,0
278,13,0
279,13,0
280,13,0
285,13,0
287,13,0
290,13,0
291,13,0
292,13,0
294,13,0
295,13,0
296,13,0
297,13,0
276,4,0
286,3,0
290,3,0
