fk_id_geo_scopes,fk_id_oics
3,59
3,58
3,57
1,56
4,55
2,54
3,53
4,52
3,51
3,50
3,49
4,48
3,47
4,46
1,85
4,84
3,83
4,82
4,81
4,80
1,79
2,78
2,77
4,45
3,44
4,76
4,75
3,74
1,73
4,72
4,71
4,70
4,69
3,68
3,67
2,66
3,92
2,91
4,90
4,89
2,88
2,87
4,64
4,63
4,61
4,60
4,16
4,14
4,13
4,12
5,43
1,42
4,41
4,40
4,39
4,38
4,37
4,36
4,35
3,34
3,33
2,32
4,31
3,3
4,30
1,29
4,28
3,27
2,26
4,25
1,24
4,23
3,22
4,20
4,9
1,8
4,4
3,2
1,1
4,21
4,19
4,18
3,17
1,15
4,11
2,10
3,7
1,6
4,5
3,95
4,97
3,114
1,115
4,116
4,306
2,324
4,18
4,164
4,20
4,22
4,39
1,42
5,43
5,328
3,330
4,341
4,180
2,181
4,181
5,182
4,184
4,187
4,189
5,189
4,191
5,191
4,192
4,194
4,195
4,195
3,196
4,197
5,198
4,199
4,200
4,201
4,202
1,203
1,203
3,204
4,205
4,206
4,207
3,208
4,209
1,210
1,210
5,211
3,212
3,212
3,214
1,216
1,216
3,217
1,218
2,218
4,219
2,220
3,221
1,222
1,223
3,224
4,227
4,228
2,229
4,229
3,230
3,230
4,236
5,242
4,243
4,244
4,245
1,246
5,247
1,248
2,249
3,249
3,250
3,250
4,255
5,257
4,258
4,259
3,260
1,261
4,262
4,263
2,264
3,265
4,407
1,271
4,272
1,273
4,274
4,415
3,416
1,417
1,418
3,419
3,420
5,421
4,423
1,424
5,427
3,429
3,434
4,435
2,276
3,276
2,277
3,277
2,278
4,279
3,280
4,281
4,282
4,283
4,284
4,285
4,286
2,287
3,287
2,288
3,288
2,289
4,290
4,291
4,292
3,293
4,438
2,439
1,441
4,442
4,443
4,444
1,446
4,447
4,449
3,450
4,453
3,454
4,455
3,456
2,458
4,459
1,463
4,465
3,466
4,467
2,468
4,469
1,470
3,470
4,472
4,473
4,474
1,476
2,476
4,476
1,477
1,478
3,478
4,479
2,480
2,481
4,482
1,486
4,488
4,492
4,493
4,494
4,496
2,500
2,501
4,502
4,503
2,505
4,507
1,508
2,510
5,511
1,512
1,513
2,513
2,514
2,515
4,515
4,516
4,518
3,519
1,520
4,521
5,522
4,523
2,526
3,526
1,527
3,528
4,529
3,530
4,531
5,531
1,537
2,537
2,538
4,539
2,540
5,541
5,542
5,549
1,551
3,551
1,552
1,553
4,561
5,562
4,564
2,566
4,569
4,570
5,571
4,572
4,574
1,575
3,646
3,647
3,648
2,649
3,650
4,651
2,652
3,653
4,658
4,659
4,660
4,661
4,662
4,663
4,664
4,665
4,666
4,667
4,668
4,669
4,670
4,671
4,672
4,673
4,674
4,675
4,676
1,677
1,678
4,679
3,680
2,680
4,681
3,682
2,682
3,683
1,684
4,686
4,687
4,691
