fk_id_policy_info,fk_id_milestone,is_primary
33,1593,1
38,1285,1
404,4510,1
404,4513,0
405,5246,1
1,1572,1
105,1373,1
108,1373,1
109,1391,1
403,5248,1
129,3034,1
129,1456,0
130,1302,1
131,1302,1
132,3034,1
132,1456,0
133,1216,1
134,1216,1
135,1359,1
136,1465,1
137,1465,1
138,1712,0
138,1720,0
138,1208,1
139,1209,1
147,3034,1
147,1456,0
148,1456,1
150,1279,1
151,1622,1
154,1303,1
155,2319,1
155,1465,0
156,3110,1
157,3110,1
158,1641,1
159,1593,1
160,1593,1
162,1302,1
163,2573,1
164,1364,1
168,1307,1
170,1367,1
172,1593,1
176,2398,1
177,1367,1
177,1370,0
178,1612,1
180,1525,1
181,1370,1
182,1369,1
183,1599,1
186,1519,1
187,1519,1
189,1609,1
190,1607,0
190,1609,1
191,1609,1
192,1609,1
192,1607,0
193,1610,1
207,1273,1
215,1251,1
217,1421,1
219,1393,1
220,1409,1
222,1422,1
226,1267,1
228,1250,1
229,1250,1
238,1559,1
252,1560,1
416,5139,1
256,1556,1
256,1557,0
261,1555,1
419,3905,1
420,3934,0
420,3905,1
426,4713,1
426,4290,0
427,3774,0
427,4377,1
428,5358,1
430,4521,1
438,5374,1
441,5126,1
444,5126,1
445,4595,1
446,4647,1
446,4648,0
447,5283,1
455,4300,1
458,5248,1
459,4278,1
460,4278,1
461,4278,1
462,5248,1
463,4119,1
465,4460,1
467,4143,1
469,4300,1
474,5164,1
475,5050,1
476,5221,1
477,5221,1
478,5050,1
479,5126,1
480,5221,1
481,5182,1
490,4191,1
491,5248,1
492,5248,1
496,5050,1
497,5182,1
509,4143,1
510,4143,1
