pk_id_crp,version,date_from,date_to,id,global_unit_type_id,"name","acronym",is_active,"global_unit_type"
0,1,,,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,1,"Climate Change, Agriculture and Food Security","CCAFS",Y,"CRP"
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,1,"Policies, Institutions, and Markets","PIM",Y,"CRP"
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,1,"Water, Land and Ecosystems","WLE",Y,"CRP"
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,1,"Agriculture for Nutrition and Health","A4NH",Y,"CRP"
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,1,"Livestock","Livestock",Y,"CRP"
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,1,"Aquatic Agricultural Systems"," ",N,"CRP"
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,1,"Dryland Cereals"," ",N,"CRP"
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,1,"Dryland Systems"," ",N,"CRP"
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,1,"Forests, Trees and Agroforestry","FTA",Y,"CRP"
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,12,1,"Grain Legumes"," ",N,"CRP"
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,13,1,"Integrated Systems for the Humid Tropics"," ",N,"CRP"
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,16,1,"Rice","Rice",Y,"CRP"
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,17,1,"Roots, Tubers and Bananas","RTB",Y,"CRP"
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,20,1,"Genebank"," ",N,
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,21,1,"Wheat","Wheat",Y,"CRP"
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,22,1,"Maize","Maize",Y,"CRP"
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,27,1,"Fish","Fish",Y,"CRP"
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,1,"Grain Legumes and Dryland Cereals","GLDC",Y,"CRP"
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,24,3,"Platform for Big Data in Agriculture","BigData",Y,"Platform"
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,25,3,"Excellence in Breeading Platform","EiB",Y,"Platform"
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,26,3,"Genebank Platform","Genebank",Y,"Platform"
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,44,3,"Gender Plataform","GP",Y,"Platform"
