pk_id_flagship,version,date_from,date_to,id,"acronym","name",crp_id
0,1,,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,84,"FP4","Climate services and safety nets",1
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,85,"FP2","Climate-Smart Technologies and Practices",1
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,86,"FP3","Low emissions development",1
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,87,"FP1","Priorities and Policies for CSA",1
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,108,"F1","Technological Innovation and Sustainable Intensification",3
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,109,"F2","Economywide Factors Affecting Agricultural Growth and Rural Transformation",3
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,110,"F3","Inclusive and Efficient Value Chains",3
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,111,"F4","Social Protection for Agriculture and Resilience",3
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,112,"F5","Governance of Natural Resources",3
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,113,"F6","Cross-cutting Gender Research and Coordination",3
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,98,"F1","Restoring Degraded Landscapes (RDL)",4
12,1,1900-01-01 00:00:00,2200-01-01 00:00:00,99,"F2","Land and Water Solutions for Sustainable Intensification (LWS)",4
13,1,1900-01-01 00:00:00,2200-01-01 00:00:00,100,"F3","Sustaining Rural-Urban Linkages (RUL)",4
14,1,1900-01-01 00:00:00,2200-01-01 00:00:00,101,"F4","Managing Resource Variability, Risks and Competing Uses for Increased Resilience (VCR)",4
15,1,1900-01-01 00:00:00,2200-01-01 00:00:00,102,"F5","Enhancing Sustainability Across Agricultural Systems (ESA)",4
16,1,1900-01-01 00:00:00,2200-01-01 00:00:00,93,"F1","Food Systems for Healthier Diets",5
17,1,1900-01-01 00:00:00,2200-01-01 00:00:00,94,"F2","Biofortification",5
18,1,1900-01-01 00:00:00,2200-01-01 00:00:00,95,"F3","Food Safety",5
19,1,1900-01-01 00:00:00,2200-01-01 00:00:00,96,"F4","Supporting Policies, Programs, and Enabling Action through Research (SPEAR)",5
20,1,1900-01-01 00:00:00,2200-01-01 00:00:00,97,"F5","Improving Human Health",5
21,1,1900-01-01 00:00:00,2200-01-01 00:00:00,103,"F1","Livestock Genetics",7
22,1,1900-01-01 00:00:00,2200-01-01 00:00:00,104,"F2","Livestock Health",7
23,1,1900-01-01 00:00:00,2200-01-01 00:00:00,105,"F3","Livestock Feeds and Forages",7
24,1,1900-01-01 00:00:00,2200-01-01 00:00:00,106,"F4","Livestock and the Environment",7
25,1,1900-01-01 00:00:00,2200-01-01 00:00:00,107,"F5","Livestock Livelihoods and Agri-Food Systems",7
26,1,1900-01-01 00:00:00,2200-01-01 00:00:00,122,"FP1","Tree genetic resources to bridge production gaps and promote resilience",11
27,1,1900-01-01 00:00:00,2200-01-01 00:00:00,123,"FP2","Enhancing how trees and forests contribute to smallholder livelihoods",11
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,124,"FP3","Sustainable global value chains and investments for supporting forest conservation and equitable development",11
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,125,"FP4","Landscape dynamics, productivity and resilience",11
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,126,"FP5","Climate change mitigation and adaptation opportunities in forests, trees and agroforestry",11
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,145,"F1","Accelerating impact and equity",16
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,146,"F2","Upgrading rice value chains",16
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,147,"F3","Sustainable farming systems",16
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,148,"F4","Global Rice Array",16
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,149,"F5","New rice varieties",16
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,150,"F1","Discovery research for enhanced utilization of RTB genetic resources",17
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,151,"F2","Adapted productive varieties and quality seed of RTB crops",17
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,152,"F3","Resilient RTB crops",17
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,153,"F4","Nutritious RTB food and added value through postharvest innovation",17
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,154,"F5","Improved livelihoods at scale",17
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,116,"FP1","Inclusive and profitable wheat opportunities",21
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,117,"FP2","Novel diversity and tools for improving genetic gains and breeding efficiency",21
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,118,"FP3","Better varieties reach farmers faster",21
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,119,"FP4","Sustainable intensification of wheat-based farming systems",21
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,114,"FP1","Enhancing Maize's R4D Strategy for Impact",22
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,115,"FP2","Novel Diversity and Tools for increasing Genetic Gains",22
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,120,"FP3","Stress Tolerant and Nutritious Maize",22
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,121,"FP4","Sustainable intensification of maize-based systems for improved smallholder livelihoods",22
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,127,"M1","Organize",24
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,128,"M2","Convene",24
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,129,"M3","Inspire",24
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,155,"1","Product Design and Management",25
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,156,"2","Trait Discovery and Breeding Tools and Services and Toolbox",25
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,157,"3","Genotyping/sequencing tools and services ",25
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,158,"4","Operations and Phenotyping ",25
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,159,"5","Breeding Bioinformatics and Data Management",25
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,160,"TB","Toolbox",25
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,130,"SFS","Sustainable Food Systems",29
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,131,"CC","Climate Change",29
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,133,"C","Cassava",29
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,134,"B","Bean",29
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,135,"R","Rice",29
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,136,"GR","Genetic Resources",29
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,137,"TF","Tropical Forages",29
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,161,"SWM","Soils and Water Management",29
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,162,"ES","Ecosystem Services & Environmental Impact",29
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,163,"LR","Landscapes Restoration",29
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,164,"M1","Conservation Module: Support and improve essential genebank operations",26
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,165,"M2","Use Module: Empower effective us of plant genetic resources",26
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,166,"M3","Policy Module: Engage in genetic resources policy development and compliance",26
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,167,"FP1","Sustainable Aquaculture ",27
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,168,"FP2","Sustaining small-scale fisheries ",27
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,169,"FP1","Priority setting & impact acceleration",28
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,170,"FP2","Transforming Agri-food systems",28
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,171,"FP3","Integrated Farm and Household Management",28
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,172,"FP4","Variety and Hybrid Development",28
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,173,"FP5","Pre-breeding and Trait Discovery",28
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,174,"DIA","Digital Inclusive Agriculture",29
79,1,1900-01-01 00:00:00,2200-01-01 00:00:00,175,"FP6","Common Beans for nutrition and markets",28
80,1,1900-01-01 00:00:00,2200-01-01 00:00:00,176,"M1","Evidence",44
81,1,1900-01-01 00:00:00,2200-01-01 00:00:00,177,"M2","Methods",44
82,1,1900-01-01 00:00:00,2200-01-01 00:00:00,178,"M3","Alliances",44
83,1,1900-01-01 00:00:00,2200-01-01 00:00:00,179,"Lever 1","Food environment and consumer behavior",45
84,1,1900-01-01 00:00:00,2200-01-01 00:00:00,180,"Lever 2","Multifunctional landscapes",45
85,1,1900-01-01 00:00:00,2200-01-01 00:00:00,181,"Lever 3","Climate action",45
86,1,1900-01-01 00:00:00,2200-01-01 00:00:00,182,"Lever 4","Biodiversity for food and agriculture",45
87,1,1900-01-01 00:00:00,2200-01-01 00:00:00,183,"Lever 5","Digital inclusion",45
88,1,1900-01-01 00:00:00,2200-01-01 00:00:00,184,"Lever 6","Crops for nutrition and health",45
89,1,1900-01-01 00:00:00,2200-01-01 00:00:00,189,"MGT","Management and support unit",45
90,1,1900-01-01 00:00:00,2200-01-01 00:00:00,190,"6","NARS",25
91,1,1900-01-01 00:00:00,2200-01-01 00:00:00,191,"7","Adoption and Outreach",25
