pk_id_smo_org_types,version,date_from,date_to,id,"name","definition"
0,1,,,,,
1,1,1900-01-01 00:00:00,2200-01-01 00:00:00,1,"CGIAR","Includes all CGIAR centers, CRPs and platforms. Any CGIAR entity. Technically, these are a subset of Academic and Research institutions, but for CGIAR purposes, CGIAR must be tagged specifically."
2,1,1900-01-01 00:00:00,2200-01-01 00:00:00,2,"Academic and Research","Includes universities, colleges or other teaching institutions, research institutes or think tanks. Also includes non-CGIAR international agricultural research centers and research networks."
3,1,1900-01-01 00:00:00,2200-01-01 00:00:00,3,"Development organizations","Includes large or small, formal or informal, flexible or bureaucratic non-governmental entities operating within multiple areas of public action such as development, humanitarian action, human rights, environment, etc. Includes international, national, and regional NGOs; regional networks, and organizations not funded by the government."
4,1,1900-01-01 00:00:00,2200-01-01 00:00:00,4,"NARES/NARS","Includes organizations and institutions created and/or funded by the government as a support for the national program of agricultural development with the purpose of improving agricultural research, management, financing, and service delivery (extension services). They comprise a variety of public or private stakeholders (universities, civil society, farmers’ groups, private sector) engaged in agricultural research and which promote linkages with institutions at national, regional and international level. It is important to distinguish these from academic and research institutes in-general as funders like to know the status of NARS/NARES partnerships specifically."
5,1,1900-01-01 00:00:00,2200-01-01 00:00:00,5,"CBOs (Community based organizations) and farmers' groups","Includes not-for-profit groups representing community based interests. These are generally created by the public and represent communities by addressing issues such as human services, urban safety, affordable housing, clean water, etc. These may also include farmer groups, working collaboratively to support members’ interests and needs, such as advocacy, mediation, information sharing, advice, access to markets, and inputs."
6,1,1900-01-01 00:00:00,2200-01-01 00:00:00,6,"Private sector","Includes all for-profit organizations owned and managed by private individuals or enterprises. In contrast with the public sector, the private sector usually provides goods and services only for those who pay them. Includes private sector partners in recipent, donor, and partner countries. This category also includes individual farmers."
7,1,1900-01-01 00:00:00,2200-01-01 00:00:00,7,"Foundations and Financial Institutions","Includes foundations and institutions that conduct financial transactions such as loans, deposits, investments and currency exchange. These can be national, regional, or international. "
8,1,1900-01-01 00:00:00,2200-01-01 00:00:00,8,"Government","Primarily refers to aid recipient governments or any government in-general. Does not include governments acting in a philanthropic capacity (such as bilateral aid agencies)."
9,1,1900-01-01 00:00:00,2200-01-01 00:00:00,9,"Bilateral and Donor governments","Includes donor governments and bilateral development agencies such as DFID, USAID, and IDRC."
10,1,1900-01-01 00:00:00,2200-01-01 00:00:00,10,"Multilateral","Includes agencies comprised of multiple country members with the objective of providing socially and environmentally responsible investment and research. Examples include FAO, World Bank, Asian Development Bank, UNICEF, etc."
11,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"Other ","Allows users to add an 'other' category"
